TransactionID,CustomerID,Amount,LocationCity,TransactionDateTime,AccountBalanceAfter,MerchantID,MCC,AccountType
0,1,63.18699535253317,Giza,2025-01-07 20:00:37.473,6973.03,1,5812,CREDIT_CARD
1,1,1402.725091764201,Luxor,2025-01-06 20:00:37.473,7304.52,2,5812,DEBIT
2,1,1187.651355324409,Aswan,2025-01-05 20:00:37.473,3768.68,3,5812,CREDIT_CARD
3,1,531.3978445265009,Cairo,2025-01-04 20:00:37.473,6437.82,5,5812,CREDIT_CARD
4,1,1433.3719750716286,Alexandria,2025-01-03 20:00:37.473,4812.17,6,5812,CREDIT_CARD
5,1,1614.250136084843,Giza,2025-01-02 20:00:37.473,380.46,7,5812,DEBIT
6,1,674.8312223569828,Luxor,2025-01-01 20:00:37.477,5904.41,8,5812,CREDIT_CARD
7,1,899.2596840758906,Aswan,2024-12-31 20:00:37.477,6803.84,10,5812,CREDIT_CARD
8,1,1793.763542438221,Cairo,2024-12-30 20:00:37.477,7233.57,11,5411,CREDIT_CARD
9,1,1055.436367338644,Alexandria,2024-12-29 20:00:37.477,8657.18,12,5411,DEBIT
10,1,1476.7712541135438,Giza,2024-12-28 20:00:37.477,2946.27,13,5411,CREDIT_CARD
11,1,1136.1015641638185,Luxor,2024-12-27 20:00:37.477,7826.73,15,5411,CREDIT_CARD
12,1,183.821051173985,Aswan,2024-12-26 20:00:37.477,5996.62,16,5411,CREDIT_CARD
13,1,2129.0375365643,Cairo,2024-12-25 20:00:37.477,3321.98,17,5411,CREDIT_CARD
14,1,627.7400963906443,Alexandria,2024-12-24 20:00:37.477,7456.53,18,5411,DEBIT
15,1,1486.6555147069785,Giza,2024-12-23 20:00:37.477,419.34,20,5411,CREDIT_CARD
16,1,1019.3608916637664,Luxor,2024-12-22 20:00:37.477,955.31,21,5411,DEBIT
17,1,1687.1858443498495,Aswan,2024-12-21 20:00:37.477,9105.65,22,5411,DEBIT
18,1,788.6727997296982,Cairo,2024-12-20 20:00:37.477,4434.87,23,5651,DEBIT
19,1,1301.222959051864,Alexandria,2024-12-19 20:00:37.480,5549.53,25,5651,CREDIT_CARD
20,1,478.4278548864517,Giza,2024-12-18 20:00:37.480,2447.14,26,5651,DEBIT
21,1,358.4765429039303,Luxor,2024-12-17 20:00:37.480,6711.87,27,5651,CREDIT_CARD
22,1,1307.4240990987446,Aswan,2024-12-16 20:00:37.480,3782.0,28,5651,DEBIT
23,1,1667.8674500899842,Cairo,2024-12-15 20:00:37.480,1170.49,30,5651,DEBIT
24,1,93.01185922596288,Alexandria,2024-12-14 20:00:37.480,3723.68,31,5651,DEBIT
25,1,1729.622646800474,Giza,2024-12-13 20:00:37.480,5945.37,32,5651,DEBIT
26,1,197.824491333702,Luxor,2024-12-12 20:00:37.480,8493.09,33,5651,DEBIT
27,1,470.7484260949118,Aswan,2024-12-11 20:00:37.480,874.86,35,5651,DEBIT
28,1,105.52599777559068,Cairo,2024-12-10 20:00:37.480,2215.87,36,5732,DEBIT
29,1,289.2346243173902,Alexandria,2024-12-09 20:00:37.480,2564.01,37,5732,DEBIT
30,1,1166.2415700777535,Giza,2024-12-08 20:00:37.480,6899.09,38,5732,CREDIT_CARD
31,1,1028.0435916858485,Luxor,2024-12-07 20:00:37.480,3205.43,40,5732,CREDIT_CARD
32,1,1043.1461546435337,Aswan,2024-12-06 20:00:37.480,1711.8,41,5732,DEBIT
33,1,1044.8344310786115,Cairo,2024-12-05 20:00:37.483,9020.8,42,5732,DEBIT
34,1,1341.0098875853405,Alexandria,2024-12-04 20:00:37.483,6405.37,43,5732,DEBIT
35,1,595.7145747007411,Giza,2024-12-03 20:00:37.483,5213.23,45,5732,CREDIT_CARD
36,1,1880.5846294305693,Luxor,2024-12-02 20:00:37.483,2941.89,46,5732,DEBIT
37,1,79.73004088984294,Aswan,2024-12-01 20:00:37.483,6860.24,47,5732,CREDIT_CARD
38,1,863.2081918038984,Cairo,2024-11-30 20:00:37.483,8094.76,48,5912,CREDIT_CARD
39,1,2057.7040050289925,Alexandria,2024-11-29 20:00:37.483,1270.21,50,5912,CREDIT_CARD
40,1,71.5358065771833,Giza,2024-11-28 20:00:37.483,82.22,51,5912,CREDIT_CARD
41,1,290.0809336241223,Luxor,2024-11-27 20:00:37.483,152.77,52,5912,CREDIT_CARD
42,1,237.3590875934175,Aswan,2024-11-26 20:00:37.483,271.75,53,5912,DEBIT
43,1,868.6221086291924,Cairo,2024-11-25 20:00:37.483,235.23,55,5912,DEBIT
44,1,106.04163939143714,Alexandria,2024-11-24 20:00:37.483,1685.42,56,5912,DEBIT
45,1,1676.721530385786,Giza,2024-11-23 20:00:37.487,2449.17,57,5912,DEBIT
46,1,492.9964983183831,Luxor,2024-11-22 20:00:37.487,1550.62,58,5912,DEBIT
47,1,1016.1751572956948,Aswan,2024-11-21 20:00:37.487,2394.62,60,5912,CREDIT_CARD
48,1,911.0147479917354,Alexandria,2024-11-19 20:00:37.487,4862.73,0,5812,DEBIT
49,2,935.1347906509586,Giza,2025-01-07 20:00:37.487,8043.26,1,5812,DEBIT
50,2,372.355253179459,Luxor,2025-01-06 20:00:37.487,6666.36,2,5812,CREDIT_CARD
51,2,1117.9031947088008,Aswan,2025-01-05 20:00:37.487,7599.6,3,5812,DEBIT
52,2,582.4958993516933,Cairo,2025-01-04 20:00:37.487,6107.12,5,5812,CREDIT_CARD
53,2,2182.1333393948976,Alexandria,2025-01-03 20:00:37.487,6615.62,6,5812,DEBIT
54,2,2085.411344898534,Giza,2025-01-02 20:00:37.487,8924.81,7,5812,CREDIT_CARD
55,2,344.61517143533064,Luxor,2025-01-01 20:00:37.487,7052.1,8,5812,DEBIT
56,2,209.87496159543343,Aswan,2024-12-31 20:00:37.487,6604.23,10,5812,DEBIT
57,2,1541.2171912058905,Cairo,2024-12-30 20:00:37.487,8002.67,11,5411,CREDIT_CARD
58,2,1749.92408574994,Alexandria,2024-12-29 20:00:37.487,7014.34,12,5411,CREDIT_CARD
59,2,12.055642254229438,Giza,2024-12-28 20:00:37.490,5484.34,13,5411,CREDIT_CARD
60,2,421.4913946439592,Luxor,2024-12-27 20:00:37.490,6945.03,15,5411,CREDIT_CARD
61,2,610.6691164053386,Aswan,2024-12-26 20:00:37.490,8196.48,16,5411,CREDIT_CARD
62,2,1269.6332789617115,Cairo,2024-12-25 20:00:37.490,9075.79,17,5411,CREDIT_CARD
63,2,1173.6192471666875,Alexandria,2024-12-24 20:00:37.490,6666.84,18,5411,CREDIT_CARD
64,2,1039.7692682618035,Giza,2024-12-23 20:00:37.490,5263.45,20,5411,CREDIT_CARD
65,2,714.3761158248102,Luxor,2024-12-22 20:00:37.490,2369.47,21,5411,DEBIT
66,2,1542.8467745959913,Aswan,2024-12-21 20:00:37.490,1525.68,22,5411,DEBIT
67,2,1396.6744996864693,Cairo,2024-12-20 20:00:37.490,7740.5,23,5651,CREDIT_CARD
68,2,118.36260427206555,Alexandria,2024-12-19 20:00:37.490,8308.06,25,5651,DEBIT
69,2,1538.7186771471872,Giza,2024-12-18 20:00:37.490,8611.39,26,5651,DEBIT
70,2,726.4655137355658,Luxor,2024-12-17 20:00:37.490,2053.59,27,5651,DEBIT
71,2,1256.3523600443364,Aswan,2024-12-16 20:00:37.490,7280.41,28,5651,DEBIT
72,2,1229.820174684963,Cairo,2024-12-15 20:00:37.490,7145.5,30,5651,CREDIT_CARD
73,2,1945.98297734782,Alexandria,2024-12-14 20:00:37.490,8102.19,31,5651,DEBIT
74,2,233.4501056801707,Giza,2024-12-13 20:00:37.493,1710.79,32,5651,CREDIT_CARD
75,2,1504.735735399169,Luxor,2024-12-12 20:00:37.493,2564.63,33,5651,DEBIT
76,2,1233.578531197619,Aswan,2024-12-11 20:00:37.493,8478.33,35,5651,DEBIT
77,2,1638.192684376445,Cairo,2024-12-10 20:00:37.493,3511.64,36,5732,DEBIT
78,2,2095.4792167543524,Alexandria,2024-12-09 20:00:37.493,7295.76,37,5732,CREDIT_CARD
79,2,896.7273515519532,Giza,2024-12-08 20:00:37.493,8829.56,38,5732,DEBIT
80,2,1255.5581502327332,Luxor,2024-12-07 20:00:37.493,7367.81,40,5732,CREDIT_CARD
81,2,1154.3857891829884,Aswan,2024-12-06 20:00:37.493,4401.97,41,5732,DEBIT
82,2,1745.8867450441762,Cairo,2024-12-05 20:00:37.493,6417.04,42,5732,CREDIT_CARD
83,2,775.2025747477671,Alexandria,2024-12-04 20:00:37.493,5944.88,43,5732,DEBIT
84,2,1536.6845383015118,Giza,2024-12-03 20:00:37.493,5998.7,45,5732,CREDIT_CARD
85,2,408.72404585675815,Luxor,2024-12-02 20:00:37.493,1033.97,46,5732,CREDIT_CARD
86,2,504.28341106514256,Aswan,2024-12-01 20:00:37.493,9873.51,47,5732,DEBIT
87,2,2232.584442560755,Cairo,2024-11-30 20:00:37.493,7277.47,48,5912,CREDIT_CARD
88,2,1313.8702029403305,Alexandria,2024-11-29 20:00:37.493,7496.02,50,5912,DEBIT
89,2,2028.884229214297,Giza,2024-11-28 20:00:37.493,8268.23,51,5912,DEBIT
90,2,272.3598582377836,Luxor,2024-11-27 20:00:37.497,2591.91,52,5912,DEBIT
91,2,1634.8140787933137,Aswan,2024-11-26 20:00:37.497,5356.18,53,5912,DEBIT
92,2,1026.7553007024758,Cairo,2024-11-25 20:00:37.497,7369.08,55,5912,DEBIT
93,2,1330.7673432161223,Alexandria,2024-11-24 20:00:37.497,763.67,56,5912,DEBIT
94,2,517.6479209315364,Giza,2024-11-23 20:00:37.497,5955.1,57,5912,DEBIT
95,2,1095.4734149352432,Luxor,2024-11-22 20:00:37.497,8040.1,58,5912,DEBIT
96,2,2126.8920600655447,Aswan,2024-11-21 20:00:37.497,9484.31,60,5912,DEBIT
97,2,208.0304156961114,Alexandria,2024-11-19 20:00:37.497,9689.92,0,5812,DEBIT
98,3,1307.3145325453431,Giza,2025-01-07 20:00:37.497,2481.44,1,5812,DEBIT
99,3,977.5379322794026,Luxor,2025-01-06 20:00:37.497,3518.28,2,5812,CREDIT_CARD
100,3,1534.3151664507895,Aswan,2025-01-05 20:00:37.497,9085.7,3,5812,CREDIT_CARD
101,3,1529.0309478486583,Cairo,2025-01-04 20:00:37.497,1473.6,5,5812,DEBIT
102,3,1870.9180616047256,Alexandria,2025-01-03 20:00:37.497,7847.33,6,5812,DEBIT
103,3,1849.1413153063568,Giza,2025-01-02 20:00:37.500,8228.95,7,5812,DEBIT
104,3,587.1033939312487,Luxor,2025-01-01 20:00:37.500,8873.93,8,5812,DEBIT
105,3,1735.6397176066514,Aswan,2024-12-31 20:00:37.500,9156.78,10,5812,DEBIT
106,3,1103.0566204007189,Cairo,2024-12-30 20:00:37.500,4998.07,11,5411,DEBIT
107,3,1339.7751925012517,Alexandria,2024-12-29 20:00:37.500,660.09,12,5411,DEBIT
108,3,1708.660453710357,Giza,2024-12-28 20:00:37.500,5351.33,13,5411,DEBIT
109,3,1237.8926944053123,Luxor,2024-12-27 20:00:37.500,4144.89,15,5411,CREDIT_CARD
110,3,401.2366147274807,Aswan,2024-12-26 20:00:37.500,6290.65,16,5411,DEBIT
111,3,848.9004007672341,Cairo,2024-12-25 20:00:37.500,2240.29,17,5411,CREDIT_CARD
112,3,1438.5590270116527,Alexandria,2024-12-24 20:00:37.500,3316.46,18,5411,DEBIT
